Container stores 10000 plants:
Shrub name: LmSHkzCkkjDxzXoVl, type: Home, percent of vowel letters = 5.882%
Tree name: pgDnp, age: 772, percent of vowel letters = 0.0%
Shrub name: HMwcsdWDcLgCVM, type: Home, percent of vowel letters = 0.0%
Shrub name: kfmRy, type: Garden, percent of vowel letters = 20.0%
Shrub name: WzxdRwyBtlWuUf, type: Home, percent of vowel letters = 21.429%
Tree name: FaFODYgBGAfnZWBj, age: 146, percent of vowel letters = 25.0%
Shrub name: MmZsgkSltLwiYLSQyq, type: Garden, percent of vowel letters = 16.667%
Tree name: TrmwcYExomLevf, age: 769, percent of vowel letters = 28.571%
Tree name: OQeVO, age: 598, percent of vowel letters = 60.0%
Shrub name: oMPQtVvMR, type: Garden, percent of vowel letters = 11.111%
Tree name: kJQRTO, age: 826, percent of vowel letters = 16.667%
Tree name: inTNPYcYzNLHY, age: 936, percent of vowel letters = 30.769%
Tree name: scdSLEKFeuDZnxiTN, age: 877, percent of vowel letters = 23.529%
Shrub name: YQpnbqmcgp, type: Home, percent of vowel letters = 10.0%
Shrub name: kDKQN, type: Garden, percent of vowel letters = 0.0%
Tree name: KYLSRQhefrSvKUj, age: 793, percent of vowel letters = 20.0%
Tree name: AyzGySYqYdvr, age: 448, percent of vowel letters = 41.667%
Tree name: oXNHQRmuC, age: 651, percent of vowel letters = 22.222%
Tree name: mvmzbElrPID, age: 352, percent of vowel letters = 18.182%
Tree name: fiutdGLca, age: 95, percent of vowel letters = 33.333%
Shrub name: VeJGAoV, type: Home, percent of vowel letters = 42.857%
Shrub name: vNcRuuLdI, type: Home, percent of vowel letters = 33.333%
Shrub name: eaKpWQfVs, type: Garden, percent of vowel letters = 22.222%
Shrub name: dHKzykmmNIHwWKQ, type: Home, percent of vowel letters = 13.333%
Shrub name: dsybQQKqQUpxtJivE, type: Garden, percent of vowel letters = 23.529%
Shrub name: ouv, type: Garden, percent of vowel letters = 66.667%
Tree name: ZQxkQHYcekgalMcImbS, age: 926, percent of vowel letters = 21.053%
Shrub name: iadYg, type: Garden, percent of vowel letters = 60.0%
Shrub name: kWhvbZWryrWQejLdrk, type: Home, percent of vowel letters = 11.111%
Shrub name: zBEhimZuWaVeYL, type: Home, percent of vowel letters = 42.857%
Tree name: TCvBWkqyeqU, age: 189, percent of vowel letters = 27.273%
Tree name: PZQqyBY, age: 505, percent of vowel letters = 28.571%
Tree name: bZUOBUJHpjtV, age: 921, percent of vowel letters = 25.0%
Shrub name: EpPErLPqCBKJaD, type: Garden, percent of vowel letters = 21.429%
Tree name: ZFYDHKsJplAjDCeKXF, age: 869, percent of vowel letters = 16.667%
Shrub name: cdcutVCqMCWuuCinjM, type: Garden, percent of vowel letters = 22.222%
